component,present,implementations,duplicates,a11y_pass,shadcn_equivalent
Button,Yes,1,0,Partial (aria-busy but no default type enforcement),button
Input,Yes,1,0,Needs explicit label pairing,input
Select,Yes,1,0,Radix select lacks described-by wiring,select
Checkbox,Yes,1,0,Requires external label association,checkbox
Switch,Yes,1,0,Relies on caller for aria-checked,switch
Radio Group,Yes,1,0,Orientation hard-coded to horizontal,radio-group
Dialog/Modal,Yes,2,1,Focus trap delegated to Radix without titles,dialog + alert-dialog
Drawer/Sheet,Yes,1,0,Uses dialog primitive but tokens inline,sheet
Menu/Dropdown,Yes,1,0,Trigger lacks aria-expanded state dropdown,dropdown-menu
Tabs,Yes,1,0,Lacks aria-controls ids,tabs
Tooltip,No,0,0,Missing primitive,tooltip
Table,Yes,2,1,No caption/scope attributes,table
Card,Yes,1,0,Div container only,card
Toast,Yes,2,1,Custom stack lacks aria-live,toast
Badge,Yes,1,0,Span only,badge
Avatar,Yes,1,0,Missing alt fallback,avatar
Skeleton,No,0,0,Missing skeleton,skeleton
Progress,Yes,1,0,Inline style no aria-valuetext,progress
Slider,Yes,1,0,Radix defaults only,slider
Separator,Yes,1,0,Orientation default only,separator
Label,Yes,1,0,Wraps Radix label,label
ScrollArea,No,0,0,Missing scroll area,scroll-area
Navigation,Yes,3,2,Mixed nav landmarks,navigation
